slug,overall_result,total_verify_calls,rejected,build_failed,smoke_failed,accepted,calls_before_first_accept
TheAlgorithms/C-Plus-Plus,SUCCESS,10,0,7,2,1,9
Theano/Theano,FAIL,16,0,3,13,0,16
TianZerL/Anime4KCPP,SUCCESS,3,1,1,0,1,2
TimOliver/TOCropViewController,SUCCESS,2,0,1,0,1,1
XUANTIE-RV/wujian100_open,FAIL,21,4,17,0,0,21
aFarkas/html5shiv,SUCCESS,1,0,0,0,1,0
adamwdraper/Numeral-js,FAIL,29,2,3,24,0,29
addyosmani/essential-js-design-patterns,SUCCESS,48,6,41,0,1,47
advimman/lama,SUCCESS,3,2,1,0,0,3
ageitgey/face_recognition,FAIL,42,0,25,17,0,42
aksakalli/gtop,SUCCESS,5,2,1,1,1,4
alainm23/planify,FAIL,23,1,22,0,0,23
alibaba/compileflow,SUCCESS,3,0,2,0,1,2
amruthpillai/reactive-resume,SUCCESS,9,0,6,2,1,8
an-anime-team/an-anime-game-launcher,SUCCESS,13,0,10,2,1,12
anoma/anoma,FAIL,21,3,18,0,0,21
anomalyco/opencode,SUCCESS,1,0,0,0,1,0
ant-design/ant-design,SUCCESS,5,0,4,0,1,4
antonioribeiro/google2fa,SUCCESS,19,4,7,7,1,18
apache/cassandra,SUCCESS,13,2,10,0,1,12
apache/maven,SUCCESS,14,3,10,0,1,13
apache/opendal,SUCCESS,16,0,13,2,1,15
apple/ml-fastvit,FAIL,31,11,2,18,0,31
apple/swift-protobuf,SUCCESS,2,0,1,0,1,1
armcha/Space-Navigation-View,SUCCESS,5,0,5,0,0,5
atom/atom,FAIL,29,3,26,0,0,29
auto-ssl/lua-resty-auto-ssl,SUCCESS,3,0,2,0,1,2
axiaoxin-com/investool,SUCCESS,1,0,0,0,1,0
babel/babel,FAIL,32,3,29,0,0,32
backup/backup,SUCCESS,4,0,3,0,1,3
baiy/Ctool,FAIL,17,0,17,0,0,17
base/node,SUCCESS,4,2,1,0,1,3
basecamp/local_time,SUCCESS,15,1,9,4,1,14
bchavez/Bogus,SUCCESS,4,0,3,0,1,3
benvinegar/counterscale,SUCCESS,12,0,11,0,1,11
bilibili/DanmakuFlameMaster,SUCCESS,14,1,13,0,0,14
biliup/biliup,FAIL,27,5,22,0,0,27
biopython/biopython,FAIL,20,1,6,13,0,20
bluefireteam/photo_view,SUCCESS,1,0,0,0,1,0
browser-use/browser-use,FAIL,30,8,9,13,0,30
brucefan1983/CUDA-Programming,SUCCESS,7,0,5,1,1,6
carbon-app/carbon,SUCCESS,6,0,4,1,1,5
castwide/solargraph,SUCCESS,6,1,4,0,1,5
certsocietegenerale/FIR,FAIL,45,4,35,6,0,45
chaostoolkit/chaostoolkit,SUCCESS,11,3,6,1,1,10
chrisbenincasa/tunarr,SUCCESS,5,0,2,2,1,4
christinecha/choreographer-js,SUCCESS,2,0,1,0,1,1
cirruslabs/tart,FAIL,17,7,10,0,0,17
cjhutto/vaderSentiment,FAIL,19,0,1,18,0,19
clementchadebec/benchmark_VAE,FAIL,29,0,11,18,0,29
coleam00/mcp-crawl4ai-rag,SUCCESS,13,0,8,4,1,12
commaai/openpilot,SUCCESS,30,3,26,0,1,29
commanded/commanded,SUCCESS,6,3,2,0,1,5
coollabsio/coolify,SUCCESS,21,3,14,3,1,20
cuemacro/findatapy,SUCCESS,8,0,1,6,1,7
daytonaio/daytona,SUCCESS,1,0,0,0,1,0
deepcharles/ruptures,FAIL,32,1,12,19,0,32
deepseek-ai/DeepSeek-V2,FAIL,32,4,2,26,0,32
deepseek-ai/DeepSeek-V3,SUCCESS,36,6,4,25,1,35
demopark/electron-api-demos-Zh_CN,FAIL,30,2,28,0,0,30
dlt-hub/dlt,FAIL,27,1,8,18,0,27
docker/compose,SUCCESS,1,0,0,0,1,0
docker-easyconnect/docker-easyconnect,SUCCESS,17,6,5,5,1,16
dotenvx/dotenvx,SUCCESS,1,0,0,0,1,0
drewm/mailchimp-api,SUCCESS,20,3,14,2,1,19
duckdb/duckdb,FAIL,14,1,13,0,0,14
egametang/ET,SUCCESS,11,4,3,3,1,10
electric-sql/electric,SUCCESS,6,0,5,0,1,5
evanw/esbuild,SUCCESS,2,0,1,0,1,1
exelban/stats,SUCCESS,5,1,0,3,1,4
expressjs/express,SUCCESS,27,3,7,14,3,11
facebook/create-react-app,SUCCESS,7,0,6,0,1,6
facebook/memlab,SUCCESS,7,2,4,0,1,6
facebook/react,SUCCESS,65,15,47,2,1,64
facebookincubator/spectrum,SUCCESS,14,2,12,0,0,14
facebookresearch/Detic,FAIL,27,8,11,8,0,27
facebookresearch/faiss,FAIL,30,6,14,10,0,30
fastapi/fastapi,SUCCESS,1,0,0,0,1,0
fatedier/frp,SUCCESS,1,0,0,0,1,0
forkingdog/UITableView-FDTemplateLayoutCell,SUCCESS,3,0,0,2,1,2
fossasia/badgemagic-app,FAIL,23,0,23,0,0,23
freeCodeCamp/devdocs,SUCCESS,5,0,4,0,1,4
freedomofpress/dangerzone,SUCCESS,2,0,1,0,1,1
frenck/home-assistant-config,SUCCESS,14,8,4,1,1,13
glennreyes/graphpack,FAIL,23,2,21,0,0,23
gocircuit/circuit,SUCCESS,8,1,6,0,1,7
google/closure-library,SUCCESS,26,9,13,3,1,25
google/pebble,FAIL,28,5,22,1,0,28
googlesamples/easypermissions,SUCCESS,3,1,0,1,1,2
h2oai/h2o-llmstudio,SUCCESS,10,1,8,0,1,9
hacksider/Deep-Live-Cam,SUCCESS,2,0,0,1,1,1
hakimel/reveal.js,FAIL,8,0,8,0,0,8
halfrost/LeetCode-Go,SUCCESS,6,0,5,0,1,5
hbons/SparkleShare,FAIL,15,2,13,0,0,15
huggingface/pytorch-image-models,FAIL,23,4,18,1,0,23
huiyadanli/RevokeMsgPatcher,FAIL,0,0,0,0,0,0
hustcc/echarts-for-react,SUCCESS,3,0,1,1,1,2
hyperoslo/ImagePicker,SUCCESS,8,1,6,0,1,7
iSoron/uhabits,SUCCESS,14,1,11,2,0,14
iamkun/dayjs,SUCCESS,35,2,24,8,1,34
iluwatar/java-design-patterns,SUCCESS,9,1,7,0,1,8
inbucket/inbucket,SUCCESS,11,2,8,0,1,10
inkonchain/node,SUCCESS,6,5,0,0,1,5
jakevdp/PythonDataScienceHandbook,SUCCESS,22,2,19,0,1,21
jgm/pandoc,FAIL,34,7,25,2,0,34
jgthms/bulma,SUCCESS,17,0,16,0,1,16
jingyaogong/minimind,SUCCESS,1,0,0,0,1,0
joelgrus/data-science-from-scratch,SUCCESS,2,0,0,1,1,1
josephg/ShareJS,SUCCESS,19,0,17,1,1,18
jschr/bootstrap-modal,SUCCESS,5,3,1,0,1,4
jsor/jcarousel,SUCCESS,3,0,1,1,1,2
junegunn/vim-plug,FAIL,23,9,4,10,0,23
kmonad/kmonad,SUCCESS,18,0,17,0,1,17
koral--/android-gif-drawable,SUCCESS,8,2,6,0,0,8
krahets/hello-algo,SUCCESS,11,1,9,0,1,10
levey/AwesomeMenu,SUCCESS,5,2,0,2,1,4
liuchengxu/vim-which-key,SUCCESS,5,4,0,0,1,4
lostindark/DriverStoreExplorer,FAIL,2,2,0,0,0,2
lstrojny/functional-php,SUCCESS,7,0,2,4,1,6
lunarmodules/luasocket,FAIL,24,0,5,19,0,24
macrozheng/mall,FAIL,6,0,6,0,0,6
major/MySQLTuner-perl,SUCCESS,3,2,0,0,1,2
mamedev/mame,SUCCESS,14,3,10,0,1,13
mastodon/mastodon-android,SUCCESS,1,0,0,0,1,0
matter-labs/zksync,FAIL,18,0,18,0,0,18
mem0ai/mem0,FAIL,22,3,12,7,0,22
metalbear-co/mirrord,FAIL,27,2,25,0,0,27
microsoft/FluidFramework,FAIL,26,1,25,0,0,26
microsoft/computervision-recipes,SUCCESS,13,3,10,0,0,13
microsoft/vscode-copilot-chat,SUCCESS,3,0,2,0,1,2
microsoft/vscode-extension-samples,SUCCESS,13,0,8,4,1,12
mike-marcacci/node-redlock,SUCCESS,11,0,7,3,1,10
mikenicholson/passport-jwt,SUCCESS,1,0,0,0,1,0
mil-tokyo/webdnn,SUCCESS,7,1,4,1,1,6
mozilla/cipherscan,SUCCESS,2,0,1,0,1,1
mtdowling/cron-expression,SUCCESS,24,3,17,3,1,23
n8n-io/n8n,FAIL,33,6,27,0,0,33
newlinedotco/FlappySwift,SUCCESS,15,10,4,0,1,14
nezhahq/nezha,SUCCESS,17,5,11,0,1,16
nimbusdotstorage/Nimbus,FAIL,26,1,25,0,0,26
nlpxucan/WizardLM,SUCCESS,23,6,3,13,1,22
nodejs/node,SUCCESS,10,1,7,0,2,6
nushell/nushell,SUCCESS,4,0,3,0,1,3
nuxt/nuxt,SUCCESS,3,0,2,0,1,2
open-webui/open-webui,SUCCESS,7,1,4,1,1,6
openai/gym,FAIL,33,2,15,16,0,33
openid/AppAuth-iOS,FAIL,18,2,16,0,0,18
openkraken/kraken,FAIL,54,1,53,0,0,54
opennextjs/opennextjs-aws,SUCCESS,22,3,15,3,1,21
oven-sh/bun,FAIL,23,12,11,0,0,23
pathwaycom/pathway,FAIL,15,0,15,0,0,15
peachananr/onepage-scroll,SUCCESS,6,4,1,0,1,5
pentacent/keila,SUCCESS,5,1,2,1,1,4
photoprism/photoprism,SUCCESS,6,0,5,0,1,5
phpDocumentor/ReflectionDocBlock,SUCCESS,6,0,0,5,1,5
phpbench/phpbench,SUCCESS,3,0,0,2,1,2
pi-hole/pi-hole,SUCCESS,27,18,7,1,1,26
pikvm/pikvm,SUCCESS,2,0,0,1,1,1
pojntfx/weron,SUCCESS,1,0,0,0,1,0
pola-rs/polars,FAIL,50,9,37,4,0,50
probablycorey/wax,SUCCESS,25,13,11,0,1,24
protobuf-net/protobuf-net,FAIL,16,4,11,1,0,16
psf/requests,SUCCESS,16,1,3,11,1,15
py-pdf/pypdf,FAIL,26,0,5,21,0,26
pyenv/pyenv,SUCCESS,5,3,1,0,1,4
pymc-devs/pymc,FAIL,35,2,11,22,0,35
python-poetry/poetry,SUCCESS,3,1,1,0,1,2
qbittorrent/qBittorrent,FAIL,43,4,39,0,0,43
qicosmos/rest_rpc,SUCCESS,3,0,0,2,1,2
quantumlib/Cirq,FAIL,24,2,4,18,0,24
quasar/Quasar,SUCCESS,2,0,1,0,1,1
quinn-rs/quinn,SUCCESS,7,1,5,0,1,6
rangle/augury,SUCCESS,6,0,2,3,1,5
rapidsai/cudf,FAIL,29,7,22,0,0,29
rasbt/machine-learning-book,FAIL,21,3,16,2,0,21
rasta-mouse/Sherlock,FAIL,11,6,1,4,0,11
rclone/rclone,SUCCESS,1,0,0,0,1,0
react-native-config/react-native-config,SUCCESS,5,0,1,3,1,4
reactopt/reactopt,SUCCESS,9,0,2,6,1,8
reagent-project/reagent,SUCCESS,2,0,1,0,1,1
refactory-id/bootstrap-markdown,SUCCESS,3,0,0,2,1,2
resume/resume.github.com,SUCCESS,2,0,1,0,1,1
roboticcam/machine-learning-notes,SUCCESS,3,1,1,0,1,2
roncoo/roncoo-pay,SUCCESS,6,0,4,1,1,5
rubickCenter/rubick,FAIL,48,5,42,1,0,48
ruby-grape/grape,SUCCESS,8,1,4,2,1,7
rubygems/bundler,SUCCESS,2,0,0,1,1,1
rust-lang/git2-rs,FAIL,30,1,27,2,0,30
rvaiya/keyd,SUCCESS,3,0,1,1,1,2
s3fs-fuse/s3fs-fuse,SUCCESS,1,0,0,0,1,0
s3tools/s3cmd,SUCCESS,1,0,0,0,1,0
sbt/sbt,FAIL,20,1,17,2,0,20
scrapinghub/portia,FAIL,27,2,25,0,0,27
shadowsocks/shadowsocks-windows,FAIL,5,5,0,0,0,5
sharmajv/vpn,SUCCESS,13,8,2,2,1,12
sherlock-project/sherlock,SUCCESS,3,2,0,0,1,2
sinonjs/sinon,FAIL,29,2,15,12,0,29
spaceandtimefdn/blitzar,SUCCESS,34,3,29,1,1,33
spieglt/FlyingCarpet,SUCCESS,19,1,15,2,1,18
spinnaker/spinnaker,FAIL,31,8,23,0,0,31
spring-projects/spring-framework,SUCCESS,31,5,24,0,2,9
sqlmapproject/sqlmap,SUCCESS,1,0,0,0,1,0
ssloy/tinyraycaster,SUCCESS,2,0,0,1,1,1
stlink-org/stlink,SUCCESS,3,0,2,0,1,2
strapi/strapi,FAIL,27,6,21,0,0,27
styled-components/styled-components,SUCCESS,10,0,8,1,1,9
sveltejs/svelte,FAIL,28,2,26,0,0,28
taigaio/taiga-docker,SUCCESS,2,0,1,0,1,1
tensorflow/privacy,FAIL,27,2,6,19,0,27
tensorflow/tensorflow,SUCCESS,19,7,5,5,2,11
thomasp85/gganimate,FAIL,21,1,20,0,0,21
tickstep/aliyunpan,SUCCESS,2,0,1,0,1,1
tidyverse/dplyr,FAIL,31,2,22,7,0,31
tldev/posturr,FAIL,23,17,6,0,0,23
tmux/tmux,SUCCESS,5,0,2,2,1,4
tobychui/zoraxy,SUCCESS,2,1,0,0,1,1
tporadowski/redis,FAIL,2,0,2,0,0,2
turbulenz/turbulenz_engine,SUCCESS,11,1,8,1,1,10
umami-software/umami,SUCCESS,16,3,3,9,1,15
ventoy/Ventoy,SUCCESS,15,2,11,1,1,14
vfsfitvnm/ViMusic,SUCCESS,5,0,4,0,1,4
vuematerial/vue-material,SUCCESS,35,0,33,1,1,34
weareoutman/clockpicker,SUCCESS,7,0,6,0,1,6
x64dbg/x64dbg,FAIL,19,1,18,0,0,19
xai-org/grok-1,FAIL,0,0,0,0,0,0
xamarin/XamarinComponents,FAIL,8,1,7,0,0,8
xdissent/ievms,SUCCESS,7,2,4,0,1,6
xl7dev/WebShell,SUCCESS,26,9,13,3,1,25
xyflow/xyflow,SUCCESS,12,0,10,1,1,11
zaach/jsonlint,SUCCESS,5,0,0,4,1,4
zen-browser/desktop,SUCCESS,22,3,16,2,1,21
ziglang/zig,FAIL,29,5,24,0,0,29
zxing/zxing,SUCCESS,2,0,1,0,1,1
