repo_name,repo_link,star_count,domain,build_type,automation_level,environment_specificity,dependency_transparency,tooling_complexity,reproducibility_support
angular/angular,https://github.com/angular/angular,99828,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
microsoft/terminal,https://github.com/microsoft/terminal,101788,systems-programming,cmake,semi_automated,specific_os,explicit_machine_readable,multi_layer_toolchains,repro_ready
ant-design/ant-design,https://github.com/ant-design/ant-design,97485,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
2dust/v2rayN,https://github.com/2dust/v2rayN,96640,utilities,dotnet,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,96914,utilities,cargo,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
neovim/neovim,https://github.com/neovim/neovim,96369,systems-programming,cmake,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94292,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,94248,utilities,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
nvbn/thefuck,https://github.com/nvbn/thefuck,95451,utilities,pip,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,106319,error,error,error,error,error,error,error
fastapi/fastapi,https://github.com/fastapi/fastapi,95012,web-development,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,93466,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93711,education,maven,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,94855,machine-learning,cmake,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,93544,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,93915,documentation,none,reverse_engineering,cross_platform_generic,implicit,mixed_languages_and_bindings,repro_ready
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91841,machine-learning,none,reverse_engineering,cross_platform_generic,implicit,single_layer_tool,repro_ready
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90304,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
pytorch/pytorch,https://github.com/pytorch/pytorch,97339,machine-learning,cmake,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready
nvm-sh/nvm,https://github.com/nvm-sh/nvm,91639,utilities,none,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
gin-gonic/gin,https://github.com/gin-gonic/gin,87969,web-development,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
openai/whisper,https://github.com/openai/whisper,94474,machine-learning,pip,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,90256,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,87287,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,85985,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
ruanyf/weekly,https://github.com/ruanyf/weekly,83932,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
gohugoio/hugo,https://github.com/gohugoio/hugo,86527,web-development,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
immich-app/immich,https://github.com/immich-app/immich,92242,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
sveltejs/svelte,https://github.com/sveltejs/svelte,85743,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
django/django,https://github.com/django/django,86733,web-development,setuptools,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
laravel/laravel,https://github.com/laravel/laravel,83618,web-development,composer,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
microsoft/markitdown,https://github.com/microsoft/markitdown,86801,utilities,pip,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
oven-sh/bun,https://github.com/oven-sh/bun,87242,utilities,zig,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
3b1b/manim,https://github.com/3b1b/manim,84422,education,setuptools,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
macrozheng/mall,https://github.com/macrozheng/mall,82894,web-development,maven,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only
realworld-apps/realworld,https://github.com/realworld-apps/realworld,82821,documentation,none,manual,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
home-assistant/core,https://github.com/home-assistant/core,84756,utilities,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
mui/material-ui,https://github.com/mui/material-ui,97792,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
animate-css/animate.css,https://github.com/animate-css/animate.css,82639,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,80879,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
supabase/supabase,https://github.com/supabase/supabase,97490,error,error,error,error,error,error,error
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,82698,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,80696,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,85116,machine-learning,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,80951,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,82555,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
microsoft/playwright,https://github.com/microsoft/playwright,82458,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,79482,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,81502,data-science,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
syncthing/syncthing,https://github.com/syncthing/syncthing,79828,systems-programming,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95277,error,error,error,error,error,error,error
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,79898,web-development,gradle,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only
doocs/advanced-java,https://github.com/doocs/advanced-java,78833,documentation,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,78460,education,npm,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,79413,machine-learning,pip,semi_automated,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,77842,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
astral-sh/uv,https://github.com/astral-sh/uv,79031,utilities,cargo,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,78319,utilities,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
junegunn/fzf,https://github.com/junegunn/fzf,77701,utilities,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
tonsky/FiraCode,https://github.com/tonsky/FiraCode,81145,utilities,none,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
storybookjs/storybook,https://github.com/storybookjs/storybook,89235,error,error,error,error,error,error,error
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,88073,error,error,error,error,error,error,error
opencv/opencv,https://github.com/opencv/opencv,86137,machine-learning,cmake,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
vitejs/vite,https://github.com/vitejs/vite,78088,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
mlabonne/llm-course,https://github.com/mlabonne/llm-course,74954,education,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
nestjs/nest,https://github.com/nestjs/nest,74526,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
typicode/json-server,https://github.com/typicode/json-server,75633,web-development,npm,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,75640,documentation,none,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
browser-use/browser-use,https://github.com/browser-use/browser-use,78185,utilities,npm,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready
infiniflow/ragflow,https://github.com/infiniflow/ragflow,73160,error,error,error,error,error,error,error
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,77132,machine-learning,cmake,semi_automated,cross_platform_generic,explicit_loose,mixed_languages_and_bindings,repro_ready
zed-industries/zed,https://github.com/zed-industries/zed,75145,utilities,cargo,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
netdata/netdata,https://github.com/netdata/netdata,77712,systems-programming,make,semi_automated,cross_platform_generic,implicit,multi_layer_toolchains,repro_ready
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,75111,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
tensorflow/models,https://github.com/tensorflow/models,77695,machine-learning,pip,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,no_ci_manual_only
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76327,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,partial_repro
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73648,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,72730,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
fighting41love/funNLP,https://github.com/fighting41love/funNLP,78928,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
unionlabs/union,https://github.com/unionlabs/union,74341,systems-programming,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
redis/redis,https://github.com/redis/redis,72883,systems-programming,make,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,83673,error,error,error,error,error,error,error
coder/code-server,https://github.com/coder/code-server,76201,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
enaqx/awesome-react,https://github.com/enaqx/awesome-react,71938,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,72629,security,none,reverse_engineering,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72133,documentation,pnpm,manual,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,72337,machine-learning,cmake,semi_automated,cross_platform_generic,implicit,multi_layer_toolchains,repro_ready
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,71629,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
localsend/localsend,https://github.com/localsend/localsend,74785,utilities,cargo,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
ventoy/Ventoy,https://github.com/ventoy/Ventoy,74422,utilities,make,semi_automated,cross_platform_generic,implicit,multi_layer_toolchains,repro_ready
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,72138,utilities,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
twitter/the-algorithm,https://github.com/twitter/the-algorithm,72701,machine-learning,bazel,semi_automated,cross_platform_generic,implicit,mixed_languages_and_bindings,no_ci_manual_only
ocornut/imgui,https://github.com/ocornut/imgui,71291,game-development,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,72365,machine-learning,setuptools,semi_automated,custom_hardware_or_drivers,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,71634,web-development,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only
lobehub/lobehub,https://github.com/lobehub/lobehub,72210,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
